null,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,num_of_layers,features,rain_type
-1,0,600,resnet1,2,0,0,1,1,20,64,1
-1,1,600,resnet1,2,0,0,1,1,20,64,1
-1,2,600,resnet1,2,0,0,1,1,20,64,1
-1,3,600,resnet1,2,0,0,1,1,20,64,1
-1,4,600,resnet1,2,0,0,1,1,20,64,1
-1,5,600,resnet1,2,0,0,1,1,20,64,1
-1,6,600,resnet1,2,0,0,1,1,20,64,1
-1,7,600,resnet1,2,0,0,1,1,20,64,1
-1,8,600,resnet1,2,0,0,1,1,20,64,1
-1,9,600,resnet1,2,0,0,1,1,20,64,1
-1,10,600,resnet1,2,0,0,1,1,20,64,1
-1,11,600,resnet1,2,0,0,1,1,20,64,1
-1,12,600,resnet1,2,0,0,1,1,20,64,1
-1,13,600,resnet1,2,0,0,1,1,20,64,1
-1,14,600,resnet1,2,0,0,1,1,20,64,1
