psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,num_of_layers,features,rain_type
19.5051427964002,23.026239750720883,0.671021215523172,0.8104231689193039,1,400,resnet1,3,1,1,1,1,20,64,1
25.31013951789676,32.42865539911473,0.8223717473284258,0.9511414738868537,0,400,resnet1,3,1,1,1,1,20,64,1
19.45668738791334,22.392522382593853,0.7808577988101427,0.8539060923090119,2,400,resnet1,3,1,1,1,1,20,64,1
26.497308365928625,30.86229648690775,0.870668897255702,0.9355714990701071,3,400,resnet1,3,1,1,1,1,20,64,1
26.497308365928625,30.376150954239055,0.870668897255702,0.9326353254397803,3,200,resnet1,3,1,1,1,1,20,64,1
19.5051427964002,24.94776060321839,0.671021215523172,0.8646548562815358,1,200,resnet1,3,1,1,1,1,20,64,1
19.5051427964002,20.553371905469128,0.671021215523172,0.7093830137579303,1,520,resnet1,3,1,1,1,1,20,64,1
19.5051427964002,23.430600262977546,0.671021215523172,0.8255848629370517,1,400,resnet1,3,1,1,1,1,20,64,1
19.5051427964002,24.94776060321839,0.671021215523172,0.8646548562815358,1,200,resnet1,3,1,1,1,1,20,64,1
25.31013951789676,31.777351338033412,0.8223717473284258,0.9455320434609513,0,500,resnet1,3,1,1,1,1,20,64,1
25.31013951789676,30.17306352644907,0.8223717473284258,0.9245242550445644,0,600,resnet1,3,0,1,1,1,20,64,1
19.5051427964002,20.497038236983293,0.671021215523172,0.7070933452341709,1,600,resnet1,3,0,1,1,1,20,64,1
19.45668738791334,20.979803218285053,0.7808577988101427,0.819778297055402,2,600,resnet1,3,0,1,1,1,20,64,1
26.497308365928625,29.143427026153685,0.870668897255702,0.9138827301849171,3,600,resnet1,3,0,1,1,1,20,64,1
26.497308365928625,29.143427026153685,0.870668897255702,0.9138827301849171,3,600,resnet1,3,1,1,1,1,20,64,1
